时间,点赞,评论
2023.04.11,396,说到宝鸡，上次还听我朋友安利说，宝鸡是出了名的宜居城市，适合养老[妙啊]
2023.04.11,111,我爷爷也特别喜欢看戏，每次有交流会他都推着轮椅从头看到尾，爷爷上个月走了，再也不能在戏结束后去看爷爷了，陕西这样的秦腔调子永远都是家的声音，在外面上学每次给打视频看爷爷的背景声音都是秦腔，陕西卫视准时的秦腔也守候着每个不在故乡陕西孩子，之前爬华山，到北峰顶听了一场华阴老腔，边听边哭，当时不理解为什么那么热情的戏曲会让我泪流满面，直到听到树梢他们跑到戏台子那里时随之开始的秦腔调，眼泪就开始掉，现在我知道了，不是为这秦腔哭，是为那个记忆里一直在听秦腔的爷爷哭，也不是为华阴老腔哭，是为那我想回而不能回的故土哭
2023.04.11,325,这怎么挤的，教教我，我也想挤进这样的碳水天堂！[大哭][大哭]
2023.04.12,282,弹幕好好笑：更适合中国宝宝的蝴蝶酥：馓子更适合中国宝宝的法棍：锅盔更适合中国宝宝的音乐节：秦腔大戏太有才了
2023.04.12,184,@盗月社食遇记我去我知道你们来宝鸡但这也太巧了吧那次也是我们第一次尝试赶会卖东西结果我有事回家了你们去的那天我没在错过了要不绝对让你两品尝自己家做的小吃[大哭][大哭][大哭]没有预告完美错过
2023.04.11,2159,好人前半生受苦，后半生还受苦，谁还干啊[跪了]
2023.04.12,5,在外地的宝鸡人只能以这种方式思念家乡了。
2023.04.12,82,欢迎大家来宝鸡玩！有生之年跟盗月社逛过了同一个大集，这是那天集市上拍的照片（就视频里这个大集！）宝鸡擀面皮巨好吃，均价四块钱一碗；豆花泡馍也巨好吃，均价五六块一碗，肉夹馍也好吃，均价六七块一个；渭水穿过，我们城市生活节奏比较轻松，夜生活也丰富，晚上九十点来个烧烤火锅什么的简直不要太美好，也可以选择早上起来去河堤跑跑步，能偶遇打太极的大爷，还有炎帝园，传统文化气息非常浓厚，每一处小亭子都会被热爱音乐的叔叔阿姨充分利用起来，拉二胡唱秦腔约着合奏之类的、还有提着小水桶拿一米长的毛笔在炎帝园广场写毛笔字的老爷爷、跳各种曲子的可爱的广场舞阿姨，总之，宝鸡是我呆了十八年还不腻想还一直待下去的城市，它就是很有人情味，很宜居的啦欢迎大家来玩～
2023.04.12,82,谁懂啊，在加拿大的宝鸡人随手一点盗月社的视频就是我亲爱的家乡，哇的一声哭出来。
2023.04.11,3635,作为宝鸡人，很怕大家看到这个集感觉宝鸡很落后。只能说，这个集一般都是临时的，设置在空旷的大土地上，灰很大，视频里有人头上顶张纸，遮阳也挡灰，地上会铺毯子，虽然有时候也会踩的很烂。但吃的玩的逛的都很实惠，小时候会和小伙伴相约，走很远的路去玩。离家在外，多年没去逛过集了，很想念。
2023.04.12,53,[大哭]超爱的盗月社和宝鸡的故事终于来了！他们吃海子坡烤肉的时候离好近！谢谢你们来宝鸡！很小的时候跟着外公去过交流会 他听戏 我吃喝玩乐一条龙 玩总是投不中的筒装球 拉不中的弹球 秦腔唱的什么我不懂  在蹦蹦床上 一边向上飞一边想瞄到人堆里的外公  戏散了 一老一少手拉手都心满意足回家了 后来开始寄宿学校生活 就很少有这种珍贵经历了 今年回家过年就各种让我爸带着我去看社火逛灯会 了解社火演员的扮装 快70的特效化妆师半夜为几百个社火演员上妆  看似枯青的手在演员的脸上行云流水的画着复杂的妆面 用鸡蛋壳贴脸想要打造不怒自威 震慑力十足的神 陕西人不敢轻视 小娃娃们也是半夜化妆 第二天凌晨就被绑上了芯子 去演高芯社火 凌空 难受 上去了除非表演结束 一般是不让下来 所以看到了一些小娃一边哭一边演  陕西的年 天气还是很冷的  大人们呢 他们有的要脱了上衣 绑上气球 表演血社火的开膛破肚 有的脸上脖子上砍着剪子和板凳  陕西人的愣 真的很有历史了  你十恶不赦你为非作歹 二话不说手边有什么就上什么  哪有仔细考究是用刀还是剑  有的人真认为这些文化土  其实我们的祖宗酷到不行好不好！！我越来越爱陕西！@盗月社食遇记
2023.04.11,311,我要哭了[大哭]在外地上学真的很想念宝鸡的擀面皮，臊子面，豆花泡馍
2023.04.11,2145,省流：点👍50w树梢学秦腔[doge]
2023.04.11,83,大家不要看视频觉得宝鸡是农业地区啊，宝鸡可是全国最早的一批重点建设工业重镇。宝鸡工业发展奠基于抗战时期东南民族工业内迁，一五和三线建设时期更是取得了长足发展，成为我国西北工业重镇。
2023.04.11,59,咋说呢，秦腔这玩意，像是有血脉印记一样，身边的人，到了一定年纪都会在某一天突然觉醒，成为戏迷[脱单doge]
2023.04.11,222,寒假回家，有庙会，搭台子唱大戏，跑到后台拍的
2023.04.11,770,非常怀念在陕西度过的大学时光[惊喜]
2023.04.11,39,感觉日本真会文化输出，日本动漫出现人多的活动，看烟花烟花祭。我们中国也有很多这种好的活动，动漫里却是特别的少出现这种活动。我感觉比日本那些活动好太多了，主要没人推。反正我是第一次看到这么多人热爱看戏，那种发自肺腑的喜爱，太让人产生共鸣了。
2023.04.11,314,第二视角哈哈哈哈哈
2023.04.11,391,晒一下我们曾经的核酸贴纸
2023.04.12,24,宝鸡给人的感觉也太好了吧！这种风土人情好喜欢！！列入以后旅游清单！！！
2023.04.11,13,我是淄博某个带专的，我是岐山县的，真的劝大家别在外地吃陕西面馆，那是真的没有滋味[大哭][大哭]
2023.04.11,478,啥也包说咧，先来一大碗三合一面🍜，你说美不美！
2023.04.12,16,看完评论区真的很想哭，宝鸡的兄弟姐妹们的ip分布在世界各个地方，虽然宝鸡这个家乡不能给我太好的人生平台，但这里的朴实和美好也是割舍不掉的，宝鸡的碎娃累了就回家看看别太辛苦[大哭]
2023.04.11,386,树梢这啃的看起来费老鼻子劲了
2023.04.11,890,"关于看戏的没有老年人这一点，大家莫担心
陕西男人到了中年以后，慢慢就爱上了
喝苦苦的十万大山茶，
吃齁甜的水晶饼，
看苍凉的秦腔戏，
没有人会永远喜欢秦腔，但总有人喜欢秦腔！"
2023.04.11,306,作为一名陕西人看到视频突然不知道从何说起，小时候很喜欢赶集，逛会。我们这里基本上每一两个月就会有一个传统的集（会），有的是为了纪念有的是为了传承。但是不会缺的永远都是一台大戏。其他卖东西的都是因为有大戏才会摆摊，摆摊就是为了服务看大戏的人。都是老人自己带凳子过去早早找个地方坐在那等着看，从步行到骑自行车，大梁自行车，后边可以夹着凳子，前面大梁可以带一个小孩。记忆里老有老人带着草帽后边夹个凳子朝集会去的画面。慢慢的变成电动车，三轮车……他们在集会上买的最多的就是麻花、油饼、油糕，这些可以带回家，也会像视频里这样吃一份煮馍，但是也不多吧，因为煮馍在他们眼里是改善伙食的，是奢侈的。现在的集会总觉得比不上小时候，可能是自己也改变了许多，也可能是记忆里的感觉是无法替代的吧。不自觉的想到这么多，也希望秦腔越来越好，也欢迎大家来陕西旅游[给心心]
2023.04.11,306,宝鸡扶风人，今年开学之前赶上了一次集，初中以后就没跟过集了，以前真的是摩肩接踵好热闹，一般三天集，我们小孩从第一天搭戏台就开始在旁边玩，现在人少了好多，戏台前也只有老人了。
2023.04.11,1139,最近封面换风格了吗
2023.04.11,294,盗月社终于完成了他们的目标，把“月亮”捧到手心，树梢开心的笑了起来
2023.04.11,110,"本期地址：陕西宝鸡金台区卧龙寺庙旁边，在附近的社员门有空可以去逛逛～
我整理了盗月社美食导航地图，微信搜索小程序“大V探店地图”或者扫码二维码就能导航去啦，社员们冲冲冲"
2023.04.11,21,落后？＋1。这明明就是文化和传统啊，有免费的高级艺术听，几块钱就能享受别人家的好厨艺，大家穿的轻松，脸上也没有愁事，多令人羡慕啊[大哭]我老家啥都没有
2023.04.11,22,"这是我的家乡宝鸡，一个朴素无名的地级小城。视频里的“会”在金台区卧龙寺，朴素的一点不网红，甚至还有些“土”。印象中小时候的会要热闹更多，不管是庙会还是戏会，年轻人也是络绎不绝，如今视频中除了老人和孩子，已经见不到太多年轻人的面孔了。
今年是我毕业十年、也是来京十年，十几年过去了，视频里戏台上下的人似乎变了模样，而又好像都没变，我很怀念家乡的各种碳水，还有各种在与不在的人。"
2023.04.12,15,这种会基本都是以秦腔为核心的，我们一般叫唱大戏，有大戏的会和没大戏的会热闹程度根本没法比。一般就是各个地方的庙会和交流会，都是每年固定的农历日子，唱几天大戏就会几天，也有一些有钱的人家过大事，或者哪个地方有啥大事想热闹一下，也会请戏班子来唱大戏。很多大一点的村子都有以前建的戏楼，没有的就像这种找个空旷的场地搭戏台唱。然后以这种唱大戏的为核心，那些卖吃的用的玩的小摊贩都赶过来做生意，吸引的人更多，听戏的以老年人最多，带着凳子马扎往台下一坐美美的过一把戏瘾，小孩子更喜欢会上卖的吃的[呲牙]，陕西人有多喜欢秦腔呢？这些老戏迷家离得近的，基本上唱几天听几天，上午去听一上午，中午休息时间吃个饭歇一歇下午继续听，因为一年能听大戏的机会就这么几次，相比听收音机看电视听秦腔，这种露天戏台听起来才是最过瘾最热闹的。会上好吃的吃食也多，擀面皮、炸油糕、甑糕、扎糕、羊肉泡、荞面饸饹、麻花、豆腐脑、刮凉粉、炒凉粉、肉夹馍、菜夹馍、卖烩面片烩麻食的、砂锅米线。现在让我去能吃一整天[呲牙]，可惜人在外地，疫情这几年这些会也没办，现在看到这熟悉的场面感觉真的亲切，家里那边的庙会听说今年也会办，感觉一切都慢慢变回到以前的时候了，将来也会慢慢变得更好又给了人新的期待。我小时候不喜欢听秦腔觉得吵，逛会就为了吃的和玩的，后面受我爷爷影响也慢慢听秦腔，现在反而很喜欢听戏，越听越喜欢，也越能理解秦腔对秦人的意义，秦腔早已融入秦人的生活里，融入我们的骨骼和血液里，秦人的喜怒哀乐，生老病死，也融在了秦腔里。爷爷不在已经好多年了，但对他的记忆和感情，通过秦腔，依然清晰和热烈。
2023.04.11,31,同款烩饼，证明我去过[doge]这场会我去了两次都没碰见盗月社，太可惜了[喜极而泣][喜极而泣][喜极而泣]
2023.04.11,22,作为一名从小在西安长大的宝鸡岐山人狂喜！欢迎大家逛西安的时候顺便去宝鸡玩一天，吃一吃最正宗的擀面皮 烙面皮 超级酥的锅盔 豆花泡馍 苞谷珍 岐山臊子面 还有手擀粉和米线！！都超级好吃！
2023.04.12,11,春天的野菜槐花，夏天的瓜果，秋天的粮菜，冬天的柿饼苹果，最近香椿下来了，一大盆香椿辣子，再炒一碟香椿鸡蛋，弄点然面，狠狠地加醋一拌，来上一头蒜，美滴很！
2023.04.11,95,宝鸡人必须得认识这个哈哈哈哈哈哈[妙啊]
2023.04.12,11,虽然是土生土长的陕西人，但其实听不太懂秦腔的唱词，外婆年轻的时候也喜欢唱，当时只觉得吵闹，不知道从什么时候开始，只要听到秦腔的配乐或者把嗓子都吼出来的音调，就不自觉地起了满胳膊的鸡皮疙瘩，鼻子瞬间就酸了，也许是想起故去的外婆，也许是骨子里老秦人的土、愣、拙以及内心深处的热血引起了共鸣，身在国外，更加思念家乡，思念碳水爆炸的简单甚至粗糙的食物，思念那一曲浓浓的乡音
2023.04.11,124,走一走看一看咯 宝鸡香香的擀面皮~[脱单doge]
2023.04.11,60,我真的永远爱家乡宝鸡的美食！在家时不想，出门在外老馋[大哭]，好在五一可以回家，一定要好好都炫一顿。
2023.04.11,9,面皮夹馍我觉得是这个世界上最无敌好吃又方便的早饭
2023.04.11,258,真的非常非常想家，想念豆花泡馍，擀面皮，臊子面，非常非常感谢盗月社来我们这个可爱又无名的小城，想念大集里没有牙笑眯眯的爷爷们，想念咸鸭蛋爷爷的叫卖，想念渭河，想念铁路上呜呜叫的火车，非常非常想回家。特别特别想家。
2023.04.11,56,"啊啊啊就在家附近！前段时间每天晚上都去看戏，可恶啊错过了上电视的机会[酸了]说来惭愧，作为一个陕西人这是我第一次真正感受到秦腔的魅力，以前总是觉得秦腔比起南方戏剧很“土”很吵，但这次因为有字幕，就在台下仔细听了几段，发现秦腔表演多变、叙事清楚、扮相美观（好多美女花旦青衣姐姐[喜欢]），故事也多是人民群众喜闻乐见的，高昂的唱腔和夸张的表现手法的形成离不开西北人民豪放质朴的性格。剧团的演员们有不少感染了甲流，发着烧，还是坚持全力完成了演出。但不难发现现场还是老年人居多，不少年轻人的看法应该和我从前一样，对戏曲提不起兴趣，晚上年轻人会稍微多一些，也有妈妈带着小朋友来看的，小朋友看得超级认真，妈妈说得早点回去睡觉了还不愿意走，总之真的很希望年轻人有更多机会多多了解秦腔，让这项传统的艺术能更好地传承下去。
会场是在一片即将动工的废墟上搭起来的，所以看起来尘土飞扬坑坑洼洼的，并且东西是比外面要卖得贵。我也是这次了解到这些小商小贩们是会场在哪里就跑到哪里，集会要结束了就得连夜跑去下一个会场占地方，有些晚上甚至就睡在这里守着摊子，都是讨生活的普通人罢了，既然来了就看得开心玩得开心吃得开心[大笑]"
2023.04.11,18,今年过年时候易俗社的节目，都是免费听的，每天好多老头老太太搬着小板凳去听戏，提前几个小时就去守着了，想必也会对周围的年轻人产生影响。真的很好[给心心]
2023.04.11,21,宝鸡正在建设秦腔博物馆，欢迎大家到时候来玩呀[脱单doge]
2023.04.11,21,那我也来碗，杂酱、西红柿鸡蛋面、油泼三合一棍棍面[脱单doge]
2023.04.11,8,汉中！推荐大家来汉中！！！离得很近！！！[打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call]来陕西有机会一定要来汉中玩！
2023.04.11,52,nia~nia~[doge]
2023.04.12,4,外地的宝鸡人是全程笑着嘴看完的但是眼眶是红的[保卫萝卜_哇]
2023.04.11,111,我爷爷也特别喜欢看戏，每次有交流会他都推着轮椅从头看到尾，爷爷上个月走了，再也不能在戏结束后去看爷爷了，陕西这样的秦腔调子永远都是家的声音，在外面上学每次给打视频看爷爷的背景声音都是秦腔，陕西卫视准时的秦腔也守候着每个不在故乡陕西孩子，之前爬华山，到北峰顶听了一场华阴老腔，边听边哭，当时不理解为什么那么热情的戏曲会让我泪流满面，直到听到树梢他们跑到戏台子那里时随之开始的秦腔调，眼泪就开始掉，现在我知道了，不是为这秦腔哭，是为那个记忆里一直在听秦腔的爷爷哭，也不是为华阴老腔哭，是为那我想回而不能回的故土哭
2023.04.11,66,此时，一位骑摩托的靓仔路过
2023.04.12,11,在陕西读了四年大学，现在出来读研，给我看哭了
2023.04.11,74,感谢盗月社一个视频就将我带回了十多年前，那时候的会比现在还要热闹，不管是庙会还是戏会，年轻人也是络绎不绝。小时候的我不听戏曲也不烧香拜佛，单纯是为凑热闹，吃一吃路边的淀粉肠和擀面皮，这是一年之中不可多得的乐趣。十多年过去了，戏台上下的人似乎变了模样，而又好像都没变。在将来，我也将是戏台下的一份子，我想这就是我的根，一个宝鸡人的根。
2023.04.11,59,宝鸡虢镇人，看到这个大集，就想起虢镇四月八庙会，虢镇城隍据说在西部各省等级最高，身着天子冠冕服饰。每年四月八“天明会”是关中西部最大的庙会。每年的四月初七初八的晚上会唱，天明戏，要唱一晚上，县城一晚上是灯火通明，最多时有上百家，娱神娱人，好戏连台，通宵达旦，街道旁也摆满了各种小吃，生活用品，就是一个大的交流会。
2023.04.11,7,这个锅盔不太好吃，最好吃的是油酥锅盔，如果碰到手工做的油酥锅盔，千万买个尝尝！！！！可惜现在做锅盔的手艺人越来越少，油酥锅盔也逐渐销声匿迹了，好久没吃正宗油酥锅盔了[难过]
2023.04.12,10,谢谢你们介绍一些传统文化，第一次了解了秦腔
2023.04.11,23,给大家来点小小的陕西诱惑[doge][doge]
2023.04.11,19,爷爷是陕西人，很小的时候就出来干活了，全国到处跑，最后在山东扎了根。他很爱秦腔，也很爱面食，我学做饭的时候头一件事就是擀面条。我没回过陕西，但听爷爷讲过很多家乡的故事。爷爷去年走了，这个视频还是感觉莫名的亲切，又可以听到陕西话和秦腔了。
2023.04.11,12,截到了一张真不错的截图
2023.04.12,3,玩梗归玩梗，集子上吃的叫小吃，陕西人日常蔬菜还是很多的，陕西蔬菜水果都十分便宜，产量极大，水果消费量也极大，维生素的问题大可不必担心。在小吃上找蔬菜跟吃乐事薯片找维生素不是一个道理哈哈哈哈。只不过这些小吃都挺顶饱的而已。美中不足的其实是陕西还是因为经济不发达，深居内陆难以获得国外的廉价肉，肉贵且少。
2023.04.11,94,不得不提三滴血的经典选段，感觉不听秦腔的人都听过，属于是铡美案至于京剧的感觉
2023.04.12,7,陕西小吃就像三秦大地和方言一样：陕北小吃、关中小吃、陕南小吃各有特色。来陕西，感觉来到了三种地方三种环境三种口味。
2023.04.11,18,作为一个00后的陕西人，感觉现在年轻人都不听秦腔（我也是[笑哭]），印象里只有爷爷奶奶那一辈的人听。而且我已经很多年没有去逛过会了，很怀念。会上的美食都很好吃，小时候很想吃，但是家里人不给买，现在长大了，但是发现一切都回不去了[酸了]
2023.04.11,38,在北京出生长大 姥姥姥爷都是陕西人 在家经常会听秦腔给我讲他们以前镇上的大集和戏台子 那时候小不懂事 就觉得没意思 今天看这集破防了 当年老人讲这些的时候应该也是带着回忆和期待希望和我多聊聊吧 想他们了 可惜也见不到了[委屈][委屈][委屈][委屈]
